freq(rad/ps)        WP3_minus(ps^4/rad^4)
    21.98840715      0.59827937E-01
    22.30233823      0.71955158E-01
    23.83376770      0.21464309    
    24.03514899      0.20428289    
    24.78623615      0.15123407    
    25.87860839      0.15098206    
    29.02653910      0.16003433    
    30.22076831      0.24386533    
    30.38423355      0.26041546    
    30.79940043      0.29043033    
    33.18145389      0.17880893    
    33.64276114      0.23709653    
    33.80452177      0.27801888    
    33.98980905      0.26859590    
    34.59288014      0.35731561    
    35.34004841      0.25549183    
    36.11203435      0.21506179    
    36.88130820      0.24317649    
    39.73697390      0.32203063    
    40.05668206      0.35173743    
    40.46276727      0.39031090    
    40.76307794      0.38632912    
    41.16301607      0.38387454    
    41.27023290      0.35991998    
    41.36472589      0.33544313    
    41.52911950      0.32452847    
    42.31213036      0.28026796    
    42.81786352      0.27674598    
    44.70053055      0.28810697    
    45.32424704      0.26538644    
    10.66815624       0.0000000    
    11.94980259       0.0000000    
    18.41099373      0.94102463E-01
    18.83551823      0.25871149E-01
    18.83551823      0.25871149E-01
    18.87692032      0.31106347E-01
    20.85774495      0.11513989    
    20.85774495      0.11513989    
    21.88837777      0.44951430E-01
    21.88837777      0.44951430E-01
    22.48579848      0.84302157E-01
    22.49990753      0.84683086E-01
    29.73345119      0.21879628    
    31.65394584      0.15518401    
    31.65394584      0.15518401    
    33.09066981      0.16408124    
    33.09066981      0.16408124    
    33.37799938      0.20814617    
    33.54859160      0.21679994    
    34.02083695      0.26172350    
    35.58288109      0.26202411    
    35.89355596      0.25092598    
    35.89355596      0.25092598    
    38.00443527      0.37522648    
    40.36923130      0.37999555    
    40.36923130      0.37999555    
    40.61447942      0.40334741    
    41.15726253      0.38467269    
    41.21006952      0.37296746    
    41.38631246      0.33328904    
    41.61399404      0.33528177    
    41.61399404      0.33528177    
    42.16680048      0.26380324    
    43.42541237      0.26198446    
    43.42541237      0.26198446    
    44.84712149      0.29499194    
     8.28940529       0.0000000    
     8.60010553       0.0000000    
    14.70613283       0.0000000    
    18.53409705      0.94385393E-01
    18.61887739      0.70072578E-01
    18.61887739      0.70072578E-01
    18.62980751      0.66674906E-01
    20.05111641      0.82385236E-01
    20.05111641      0.82385236E-01
    21.45287138      0.10223651    
    22.60587500      0.87502868E-01
    22.60587500      0.87502868E-01
    30.99950927      0.22644095    
    30.99950927      0.22644095    
    32.34672541      0.27019192    
    32.48635195      0.25982474    
    32.48635195      0.25982474    
    32.61185116      0.23521763    
    33.72536723      0.26379110    
    35.30802994      0.26450628    
    35.37126489      0.25026036    
    35.63766424      0.26870916    
    38.59094926      0.38798763    
    38.59094926      0.38798763    
    40.64830482      0.39844125    
    40.64830482      0.39844125    
    41.34404716      0.33905661    
    41.35441700      0.33534764    
    41.39284369      0.33273350    
    41.55666460      0.32710173    
    41.68361159      0.33636189    
    41.68361159      0.33636189    
    42.23566730      0.26636775    
    42.23566730      0.26636775    
    43.73877668      0.32526950    
    44.53294601      0.32014881    
    12.22860410      0.37099789E-01
    12.48921427      0.27868261E-01
    15.75118254      0.19820938E-01
    15.95421636      0.27159492E-01
    19.08478846      0.40701599E-01
    19.08478846      0.40701599E-01
    19.73230554      0.23850678E-01
    19.73230554      0.23850678E-01
    22.40720463      0.79419163E-01
    25.15836794      0.93975422E-01
    25.15836794      0.93975422E-01
    25.89919544      0.15550634    
    29.62105842      0.21987738    
    30.51678503      0.30781436    
    30.58526541      0.32614672    
    30.58526541      0.32614672    
    33.01395024      0.15378546    
    33.01395024      0.15378546    
    33.64666656      0.23802077    
    34.04071912      0.25544953    
    34.74021280      0.28956316    
    34.94559921      0.28131276    
    37.37618681      0.36678652    
    37.37618681      0.36678652    
    40.45790222      0.39017031    
    40.45790222      0.39017031    
    41.28929837      0.35425293    
    41.30423817      0.34975087    
    41.38849954      0.33245389    
    41.48316740      0.32682937    
    41.75005724      0.33308880    
    41.75005724      0.33308880    
    41.92897660      0.29282412    
    41.92897660      0.29282412    
    45.49088795      0.29358115    
    46.16731568      0.31728269    
    13.74077305       0.0000000    
    15.36427605      0.62035408E-01
    16.62202299      0.83555407E-01
    18.51056006      0.98868921E-01
    19.10034775      0.40509990E-01
    19.11739213      0.40329604E-01
    21.98840715      0.59827937E-01
    22.30233823      0.71955158E-01
    23.83376770      0.21464309    
    24.03514899      0.20428289    
    24.78623615      0.15123407    
    25.87860839      0.15098206    
    29.02653910      0.16003433    
    30.22076831      0.24386533    
    30.38423355      0.26041546    
    30.79940043      0.29043033    
    33.18145389      0.17880893    
    33.64276114      0.23709653    
    33.80452177      0.27801888    
    33.98980905      0.26859590    
    34.59288014      0.35731561    
    35.34004841      0.25549183    
    36.11203435      0.21506179    
    36.88130820      0.24317649    
    39.73697390      0.32203063    
    40.05668206      0.35173743    
    40.46276727      0.39031090    
    40.76307794      0.38632912    
    41.16301607      0.38387454    
    41.27023290      0.35991998    
    41.36472589      0.33544313    
    41.52911950      0.32452847    
    42.31213036      0.28026796    
    42.81786352      0.27674598    
    44.70053055      0.28810697    
    45.32424704      0.26538644    
    15.83893598      0.23760910E-01
    17.78208244       0.0000000    
    17.78208244       0.0000000    
    18.60856048      0.73081487E-01
    18.71705749      0.47091605E-01
    21.49581671      0.91056988E-01
    21.49581671      0.91056988E-01
    23.61339825      0.20569356    
    25.40646661      0.72742093E-01
    25.79538895      0.13589283    
    25.79538895      0.13589283    
    26.49043754      0.22252135    
    28.16717918      0.12212516    
    30.06425759      0.23138135    
    30.06425759      0.23138135    
    31.17446391      0.21403756    
    31.71972982      0.15296512    
    33.42242908      0.21186381    
    33.42242908      0.21186381    
    34.54075143      0.37201405    
    35.10319453      0.29304902    
    35.10319453      0.29304902    
    35.55918441      0.25787584    
    35.78800268      0.27263243    
    39.65372401      0.32081390    
    39.77844801      0.31858369    
    39.77844801      0.31858369    
    40.33022230      0.37260689    
    40.57250552      0.40315781    
    40.77149737      0.38452339    
    40.92615078      0.37833450    
    40.92615078      0.37833450    
    43.00013148      0.25562879    
    43.76633049      0.32909122    
    43.76633049      0.32909122    
    44.55039091      0.31604434    
    15.83893598      0.23760910E-01
    17.78208244       0.0000000    
    17.78208244       0.0000000    
    18.60856048      0.73081487E-01
    18.71705749      0.47091605E-01
    21.49581671      0.91056988E-01
    21.49581671      0.91056988E-01
    23.61339825      0.20569356    
    25.40646661      0.72742093E-01
    25.79538895      0.13589283    
    25.79538895      0.13589283    
    26.49043754      0.22252135    
    28.16717918      0.12212516    
    30.06425759      0.23138135    
    30.06425759      0.23138135    
    31.17446391      0.21403756    
    31.71972982      0.15296512    
    33.42242908      0.21186381    
    33.42242908      0.21186381    
    34.54075143      0.37201405    
    35.10319453      0.29304902    
    35.10319453      0.29304902    
    35.55918441      0.25787584    
    35.78800268      0.27263243    
    39.65372401      0.32081390    
    39.77844801      0.31858369    
    39.77844801      0.31858369    
    40.33022230      0.37260689    
    40.57250552      0.40315781    
    40.77149737      0.38452339    
    40.92615078      0.37833450    
    40.92615078      0.37833450    
    43.00013148      0.25562879    
    43.76633049      0.32909122    
    43.76633049      0.32909122    
    44.55039091      0.31604434    
    13.74077305       0.0000000    
    15.36427605      0.62035408E-01
    16.62202299      0.83555407E-01
    18.51056006      0.98868921E-01
    19.10034775      0.40509990E-01
    19.11739213      0.40329604E-01
    21.98840715      0.59827937E-01
    22.30233823      0.71955158E-01
    23.83376770      0.21464309    
    24.03514899      0.20428289    
    24.78623615      0.15123407    
    25.87860839      0.15098206    
    29.02653910      0.16003433    
    30.22076831      0.24386533    
    30.38423355      0.26041546    
    30.79940043      0.29043033    
    33.18145389      0.17880893    
    33.64276114      0.23709653    
    33.80452177      0.27801888    
    33.98980905      0.26859590    
    34.59288014      0.35731561    
    35.34004841      0.25549183    
    36.11203435      0.21506179    
    36.88130820      0.24317649    
    39.73697390      0.32203063    
    40.05668206      0.35173743    
    40.46276727      0.39031090    
    40.76307794      0.38632912    
    41.16301607      0.38387454    
    41.27023290      0.35991998    
    41.36472589      0.33544313    
    41.52911950      0.32452847    
    42.31213036      0.28026796    
    42.81786352      0.27674598    
    44.70053055      0.28810697    
    45.32424704      0.26538644    
    12.22860410      0.37099789E-01
    12.48921427      0.27868261E-01
